OrdemBancaria,DatadoPagamento,DocumentodeLiquidacao,CodigoUnidadeGestora,NomeUsuarioQueCriou,Finalidade,Valor
2023160101OB00001,25/01/2023,2022160101DL000014,160101,TATIANE IBIAPINA TEIXEIRA,"pgto NF:727/22,REF. A 3ª MEDIÇÃO,DO SERVIÇO DE CONST.DE CRECHE NO MUNICÍPIO DE REDENÇÃO/PA.CTO:020/22, CONFORME ANÁLISE DO NCI E AUTORIZO SUPERIOR SEQUENCIAL 89/90. 2022nl41369","R$ 171,231.57"
2023160101OB00002,25/01/2023,2022160101DL000016,160101,EULLER ADRIANO QUEIROZ LIMA,"Pagamento referente a repactuação de janeiro a setembro de 2022, nf 3025/22, ensino médio, contrato 034/19.","R$ 159,270.63"
2023160101OB00003,25/01/2023,2022160101DL000015,160101,EULLER ADRIANO QUEIROZ LIMA,"Pagamento referente a repactuação de janeiro a setembro de 2022, contrato 034/22, ensino fundamental. nf 3024.","R$ 133,416.45"
2023160101OB00004,26/01/2023,2022160101DL000013,160101,ELIANE CRISTINA DA CUNHA LEAL,"PAGAMENTO DE PECUNIA COM MÊS BASE NOVEMBRO/2014, PROCESSO 2016/33888, REGISTRADO PELA 2022 NE.12236, NL.41155 (SIAFEM)","R$ 3,034.06"
2023160101OB00005,26/01/2023,2022160101DL000005,160101,ELIANE CRISTINA DA CUNHA LEAL,"pagamento em restos a pagar, referência Dezembro/2022, registrado pela 2022NE.00424 (SIAFEM)",R$ 894.10
2023160101OB00006,26/01/2023,2022160101DL000002,160101,ELIANE CRISTINA DA CUNHA LEAL,"PAGAMENTO EM RESTOS A PAGAR 2022, REFERENTE A DEZEMBRO/2022, REGISTRADO PELA 2022 NE.00071, NL.41945 (SIAFEM)",R$ 139.65
2023160101OB00007,26/01/2023,2022160101DL000001,160101,ELIANE CRISTINA DA CUNHA LEAL,"PAGAMENTO EM RESTOS A PAGAR 2022, REFERENTE A DEZEMB RO/2022, REGISTRADO PELA 2022NE.00062, NL.41944 (SIAFEM)","R$ 3,427.25"
2023160101OB00008,27/01/2023,2023160101DL000001,160101,FABIANO MOURA DE VASCONCELOS,PGTO NFE 6138 CF CTO 141/22,"R$ 109,981.25"
2023160101OB00009,27/01/2023,2023160101DL000004,160101,FABIANO MOURA DE VASCONCELOS,PGTO NFSE 15341 REF DEZ/22 SERVIÇO DE LIMPEZA E CONSERVAÇÃO CF CTO 059/2018.,"R$ 26,891.40"
2023160101OB00010,27/01/2023,2023160101DL000002,160101,PEDRO GOMES DA SILVA JUNIOR,LIQ.NF 693 REF.AQUISIÇAO DE TRANSFORMADORES E SERVIÇOS DE INSTALAÇAOCOMPLETA CTO 118/2019,"R$ 216,844.10"
2023160101OB00011,27/01/2023,2023160101DL000006,160101,PEDRO GOMES DA SILVA JUNIOR,LIQ.NF 3731 REF.AQUISIÇÃO E INSTALÇAO DE TRANSFORMADORES CTP 118/2019,"R$ 13,000.00"
2023160101OB00012,27/01/2023,2023160101DL000018,160101,FABIO KLEYTON DA SILVA MIRANDA,PGTO LIQ. TRANSPORTE ESCOLAR DO MUNICIPIO DE MARACANÃ REF. NF 35 DA COMPETÊNCIA OUT/2022. PGTO COM AUTORIZO SUPERIOR.,"R$ 449,335.59"
2023160101OB00013,27/01/2023,2023160101DL000013,160101,PEDRO GOMES DA SILVA JUNIOR,LIQ.NF.691/22 REF MATERIAL ELETRICO E ELETRONICO CTO 118/2019,"R$ 293,678.01"
2023160101OB00014,27/01/2023,2023160101DL000017,160101,PEDRO GOMES DA SILVA JUNIOR,LIQ.NF 690 REF MAQUINAS E EQUIPAMENTOS DE PROTEÇAO DE SEGURANÇA CTO 118/2019,"R$ 41,504.32"
2023160101OB00015,27/01/2023,2023160101DL000015,160101,FABIO KLEYTON DA SILVA MIRANDA,PGTO LIQ. TRANSPORTE ESCOLAR DO MUNICIPIO DE MARACANÃ REF. NF 36 DA COMPETÊNCIA OUT/2022. PGTO COM AUTORIZO SUPERIOR.,"R$ 140,562.63"
2023160101OB00016,27/01/2023,2023160101DL000020,160101,PEDRO GOMES DA SILVA JUNIOR,LIQ.NF3730 REF.SERVIÇOS DE MANUTENÇAO E CONSERVAÇAO EQUIPAMENTOS ENERGETICOS CTO 118/2019,"R$ 56,333.47"
2023160101OB00017,27/01/2023,2023160101DL000005,160101,FABIO KLEYTON DA SILVA MIRANDA,PGTO LIQ. TRANSPORTE ESCOLAR DO MUNICIPIO DE VIGIA DE NAZARÉ REF. NF 597 DA COMPETÊNCIA OUT/2022. PGTO COM AUTORIZO SUPERIOR.,"R$ 33,533.10"
2023160101OB00018,27/01/2023,2023160101DL000008,160101,FABIO KLEYTON DA SILVA MIRANDA,: PGTO LIQ. DO TRANSPORTE ESCOLAR DO MUNICIPIO DE SANTO ANTONIO DO TAUA NF 598 REF OUT/2022. PAGTO COM AUTORIZO SUPERIOR.,"R$ 257,888.13"
2023160101OB00019,27/01/2023,2023160101DL000003,160101,JOAQUIM FEIO BOULHOSA,"PGTO PROC 2022/1406396, CONF. NF 007, CT 125/22, TRANSPORTE TERRESTRE DE IGAPARAPE ACU, DE OUT/22, PGTO COM AUT. SUPERIOR.","R$ 292,074.12"
2023160101OB00020,27/01/2023,2023160101DL000009,160101,FABIO KLEYTON DA SILVA MIRANDA,PGTO LIQ. TRANSPORTE ESCOLAR DO MUNICIPIO DE SANTA IZABEL REF. NF 599 DA COMPETÊNCIA OUT/2022. PGTO COM AUTORIZO SUPERIOR.,"R$ 354,599.28"
2023160101OB00021,27/01/2023,2023160101DL000011,160101,FABIO KLEYTON DA SILVA MIRANDA,PGTO LIQ. TRANSPORTE ESCOLAR DO MUNICIPIO DE VIGIA DE NAZARE REF. NF 596 DA COMPETÊNCIA OUT/2022. PGTO COM AUTORIZO SUPERIOR.,"R$ 480,031.20"
2023160101OB00022,27/01/2023,2023160101DL000016,160101,JOAQUIM FEIO BOULHOSA,"PGTO PROC 2022/1406616, CONF. NF 210, CT 117/22, TRANSPORTE TERRESTRE DE MARITUBA, DE OUT/22, PGTO COM AUT. SUPERIOR.","R$ 87,956.41"
2023160101OB00024,27/01/2023,2023160101DL000021,160101,JOAQUIM FEIO BOULHOSA,"PGTO PROC 2022/1507689, CONF. NF 007, CT 125/22, TRANSPORTE TERRESTRE DE MARITUBA, DE NOV/22, PGTO COM AUT. SUPERIOR.","R$ 19,545.87"
2023160101OB00028,27/01/2023,2023160101DL000023,160101,PEDRO GOMES DA SILVA JUNIOR,"Prestação de serviços eventuais de manutenção predial, preventiva e corretiva, com fornecimento de material, mão de obra e equipamentos para os órgãos e entidades do Poder Executivo, situados na Região Metropolitana de Belém, e nas cidades de Breves, Itaituba, Tucuruí, Santarém, Marabá, Altamira, Cametá, Capanema, Redenção e Parauapebas em conformidade com as especificações, qualidade e condições gerais estabelecidas no Termo de Referência. NF 242- BELEM","R$ 488,523.46"
2023160101OB00029,27/01/2023,2023160101DL000010,160101,FABIANO MOURA DE VASCONCELOS,Pgto nfse 1909 referente à prestação de serviços de transporte escolar para atender os professores rede estadual de ensino do município de Monte Alegre/PA cf Contrato nº 010/20,"R$ 31,964.81"
2023160101OB00030,27/01/2023,2023160101DL000024,160101,PEDRO GOMES DA SILVA JUNIOR,"Prestação de serviços eventuais de manutenção predial, preventiva e corretiva, com fornecimento de material, mão de obra e equipamentos para os órgãos e entidades do Poder Executivo, situados na Região Metropolitana de Belém, e nas cidades de Breves, Itaituba, Tucuruí, Santarém, Marabá, Altamira, Cametá, Capanema, Redenção e Parauapebas em conformidade com as especificações, qualidade e condições gerais estabelecidas no Termo de Referência. NF 243-ANANINDEUA","R$ 41,948.32"
2023160101OB00031,27/01/2023,2023160101DL000025,160101,PEDRO GOMES DA SILVA JUNIOR,"Prestação de serviços eventuais de manutenção predial, preventiva e corretiva, com fornecimento de material, mão de obra e equipamentos para os órgãos e entidades do Poder Executivo, situados na Região Metropolitana de Belém, e nas cidades de Breves, Itaituba, Tucuruí, Santarém, Marabá, Altamira, Cametá, Capanema, Redenção e Parauapebas em conformidade com as especificações, qualidade e condições gerais estabelecidas no Termo de Referência. NF 244-SANTAREM","R$ 42,604.47"
2023160101OB00032,27/01/2023,2023160101DL000012,160101,FABIANO MOURA DE VASCONCELOS,Pgto nfse 1908 referente à prestação de serviços de transporte escolar terrestre para atender os alunos matriculados na rede estadual de ensino do município de Belém/PA cf Contrato nº 119/22,"R$ 80,719.09"
2023160101OB00033,27/01/2023,2023160101DL000026,160101,PEDRO GOMES DA SILVA JUNIOR,"Prestação de serviços eventuais de manutenção predial, preventiva e corretiva, com fornecimento de material, mão de obra e equipamentos para os órgãos e entidades do Poder Executivo, situados na Região Metropolitana de Belém, e nas cidades de Breves, Itaituba, Tucuruí, Santarém, Marabá, Altamira, Cametá, Capanema, Redenção e Parauapebas em conformidade com as especificações, qualidade e condições gerais estabelecidas no Termo de Referência. NF 245-PARAUAPEBAS","R$ 621,037.36"
2023160101OB00034,27/01/2023,2023160101DL000022,160101,FABIANO MOURA DE VASCONCELOS,"Pgto nfse 1914 referente à prestação de serviços de transporte escolar fluvial para atender os alunos matriculados na rede estadual de ensino do município de Belém/PA, cf Contrato nº 118/22","R$ 771,361.26"
2023160101OB00035,27/01/2023,2023160101DL000014,160101,FABIANO MOURA DE VASCONCELOS,Pgto nfse 1907 referente à prestação de serviços de transporte escolar para atender os alunos matriculados na rede estadual de ensino do município de Paragominas/PA cf Contrato nº 319/18,"R$ 196,305.49"
2023160101OB00036,27/01/2023,2023160101DL000019,160101,FABIO KLEYTON DA SILVA MIRANDA,PGTO LIQ. TRANSPORTE ESCOLAR PARA ATENDER OS ALUNOS DA REDE ESTADUAL DO MUNICIPIO BAGRE REF. OUT/2022 COM NF 1913. PAGAMENTO COM AUTORIZO SUPERIOR.,"R$ 78,945.70"
2023160101OB00037,27/01/2023,2023160101DL000019,160101,FABIO KLEYTON DA SILVA MIRANDA,#null,"-R$ 78,945.70"
2023160101OB00038,27/01/2023,2023160101DL000019,160101,FABIO KLEYTON DA SILVA MIRANDA,PGTO LIQ. TRANSPORTE ESCOLAR PARA ATENDER OS ALUNOS DA REDE ESTADUAL DO MUNICIPIO DE BAGRE REF. OUT/2022 COM NF 1913. PGTO COM AUTORIZO SUPERIOR.,"R$ 78,945.70"
2023160101OB00039,27/01/2023,2023160101DL000007,160101,JOAQUIM FEIO BOULHOSA,"PGTO PROC 2022/1411456, CONF. NF 007, CT 196/22, TRANSPORTE TERRESTRE DE BRAGANCA, DE OUT/22, PGTO COM AUT. SUPERIOR.","R$ 159,165.94"
2023160101OB00040,30/01/2023,2023160101DL000029,160101,FABIANO MOURA DE VASCONCELOS,"PAGAMENTO EM RESTOS A PAGAR, REGISTRADA PELA 2022 NE.00060, REFERÊNCIA DEZEMBRO/2022",R$ 303.45
2023160101OB00041,30/01/2023,2023160101DL000030,160101,ELIANE CRISTINA DA CUNHA LEAL,"RESTOS A PAGAR, REGISTRADO PELA 2022 NE.00069, REFERÊNCIA DEZEMBRO/2022",R$ 347.78
2023160101OB00042,30/01/2023,2023160101DL000031,160101,ELIANE CRISTINA DA CUNHA LEAL,"RESTOS A PAGAR, REGISTRADO PELA 2022NE00068, DEZEMBRO/2022",R$ 47.92
2023160101OB00043,30/01/2023,2023160101DL000033,160101,ELIANE CRISTINA DA CUNHA LEAL,"RESTOS A PAGAR, REGISTRADO PELA 2022NE00072, REFERENTE A DEZEMBRO/2022",R$ 910.80
2023160101OB00044,1/2/23,2023160101DL000042,160101,PEDRO GOMES DA SILVA JUNIOR,ref.pagamento nf 4349 serviço de manutenção corretiva e preventiva de ar condicionado cto 07/2022 dezembro/2022,"R$ 81,227.67"
