CodigoNotadeEmpenho,DatadoEmpenho,NomeUsuarioQueCriou,InstituicaoCodigoUnidadeGestora,NUMERO_PROCESSO,Valor Original,Valor Corrente,Saldo a Liquidar,Quantidade
2021160101NE02422,1/1/21,Usuário de Integração do Sistema,160101,562911/2021,R$ 200.00,R$ 200.00,R$ 200.00,-
2021160101NE03501,1/1/21,Usuário de Integração do Sistema,160101,1423182/2019,"R$ 13,977.50","R$ 13,977.50","R$ 13,977.50",-
2021160101NE03503,1/1/21,Usuário de Integração do Sistema,160101,1423182/2019,"R$ 10,768.50","R$ 10,768.50","R$ 10,768.50",-
2021160101NE03507,1/1/21,Usuário de Integração do Sistema,160101,1423182/2021,"R$ 1,372.50","R$ 1,372.50","R$ 1,372.50",-
2021160101NE03511,1/1/21,Usuário de Integração do Sistema,160101,1423182/2019,"R$ 24,394.50","R$ 24,394.50","R$ 24,394.50",-
2021160101NE08106,1/1/21,Usuário de Integração do Sistema,160101,1254095/2021,R$ 0.33,R$ 0.33,R$ 0.33,-
2021160101NE09195,1/1/21,Usuário de Integração do Sistema,160101,2021/1431591,"R$ 67,777.79","R$ 67,777.79","R$ 67,777.79",-
2022160101NE00033,1/1/22,Usuário de Integração do Sistema,160101,18553/2022,R$ 0.63,R$ 0.63,R$ 0.63,-
2022160101NE00057,1/1/22,Usuário de Integração do Sistema,160101,34884/2022,"R$ 8,000.00","R$ 8,000.00","R$ 8,000.00",-
2022160101NE00058,1/1/22,Usuário de Integração do Sistema,160101,34822/2022,R$ 382.00,R$ 382.00,R$ 382.00,-
2022160101NE00059,1/1/22,Usuário de Integração do Sistema,160101,34832/2022,R$ 400.00,R$ 400.00,R$ 400.00,-
2022160101NE00060,1/1/22,Usuário de Integração do Sistema,160101,34942/2022,R$ 303.45,R$ 303.45,R$ 303.45,-
2022160101NE00061,1/1/22,Usuário de Integração do Sistema,160101,34920/2022,R$ 700.00,R$ 700.00,R$ 700.00,-
2022160101NE00062,1/1/22,Usuário de Integração do Sistema,160101,34958/2022,"R$ 9,755.48","R$ 9,755.48","R$ 9,755.48",-
2022160101NE00063,1/1/22,Usuário de Integração do Sistema,160101,39433/2022,"R$ 10,000.00","R$ 10,000.00","R$ 10,000.00",-
2022160101NE00068,1/1/22,Usuário de Integração do Sistema,160101,34864/2022,R$ 47.92,R$ 47.92,R$ 47.92,-
2022160101NE00069,1/1/22,Usuário de Integração do Sistema,160101,35067/2022,R$ 347.78,R$ 347.78,R$ 347.78,-
2022160101NE00070,1/1/22,Usuário de Integração do Sistema,160101,35010/2022,"R$ 5,000.00","R$ 5,000.00","R$ 5,000.00",-
2022160101NE00071,1/1/22,Usuário de Integração do Sistema,160101,34984/2022,R$ 500.00,R$ 500.00,R$ 500.00,-
2022160101NE00072,1/1/22,Usuário de Integração do Sistema,160101,34968/2022,R$ 910.80,R$ 910.80,R$ 910.80,-
2022160101NE00077,1/1/22,Usuário de Integração do Sistema,160101,34805/2022,R$ 589.91,R$ 589.91,R$ 589.91,-
2022160101NE00207,1/1/22,Usuário de Integração do Sistema,160101,113806/2022,"R$ 18,858.15","R$ 18,858.15","R$ 18,858.15",-
2022160101NE00208,1/1/22,Usuário de Integração do Sistema,160101,113806/2022,"R$ 1,220.00","R$ 1,220.00","R$ 1,220.00",-
2022160101NE00269,1/1/22,Usuário de Integração do Sistema,160101,45337/2022,"R$ 381,979.38","R$ 381,979.38","R$ 381,979.38",-
2022160101NE00270,1/1/22,Usuário de Integração do Sistema,160101,45337/2022,"R$ 4,188.91","R$ 4,188.91","R$ 4,188.91",-
2022160101NE00274,1/1/22,Usuário de Integração do Sistema,160101,37706/2022,"R$ 9,348.67","R$ 9,348.67","R$ 9,348.67",-
2022160101NE00275,1/1/22,Usuário de Integração do Sistema,160101,37706/2022,R$ 255.60,R$ 255.60,R$ 255.60,-
2022160101NE00294,1/1/22,Usuário de Integração do Sistema,160101,35040/2022,"R$ 17,142.24","R$ 17,142.24","R$ 17,142.24",-
2022160101NE00387,1/1/22,Usuário de Integração do Sistema,160101,37725/2022,"R$ 8,550.28","R$ 8,550.28","R$ 8,550.28",-
2022160101NE00424,1/1/22,Usuário de Integração do Sistema,160101,132338/2022,R$ 894.10,R$ 894.10,R$ 894.10,-
2022160101NE00697,1/1/22,Usuário de Integração do Sistema,160101,1015339/2016,R$ 64.30,R$ 64.30,R$ 64.30,-
2022160101NE01216,1/1/22,Usuário de Integração do Sistema,160101,280250/2022,"R$ 3,366.88","R$ 3,366.88","R$ 3,366.88",-
2022160101NE01217,1/1/22,Usuário de Integração do Sistema,160101,280250/2022,"R$ 1,690.71","R$ 1,690.71","R$ 1,690.71",-
2022160101NE01364,1/1/22,Usuário de Integração do Sistema,160101,2022/287554,"R$ 36,571.16","R$ 36,571.16","R$ 36,571.16",-
2022160101NE01952,1/1/22,Usuário de Integração do Sistema,160101,354845/2022,"R$ 11,528.23","R$ 11,528.23","R$ 11,528.23",-
2022160101NE01953,1/1/22,Usuário de Integração do Sistema,160101,354845/2022,"R$ 3,613.94","R$ 3,613.94","R$ 3,613.94",-
2022160101NE01955,1/1/22,Usuário de Integração do Sistema,160101,354845/2022,"R$ 1,247.85","R$ 1,247.85","R$ 1,247.85",-
2022160101NE01956,1/1/22,Usuário de Integração do Sistema,160101,354845/2022,"R$ 1,531.60","R$ 1,531.60","R$ 1,531.60",-
2022160101NE01988,1/1/22,Usuário de Integração do Sistema,160101,390571/2022,"R$ 3,236.00","R$ 3,236.00","R$ 3,236.00",-
2022160101NE01990,1/1/22,Usuário de Integração do Sistema,160101,390571/2022,"R$ 19,873.00","R$ 19,873.00","R$ 19,873.00",-
2022160101NE01994,1/1/22,Usuário de Integração do Sistema,160101,390571/2022,"R$ 7,509.50","R$ 7,509.50","R$ 7,509.50",-
2022160101NE02037,1/1/22,Usuário de Integração do Sistema,160101,354845/2022,"R$ 2,042.68","R$ 2,042.68","R$ 2,042.68",-
2022160101NE02532,1/1/22,Usuário de Integração do Sistema,160101,472323/2022,R$ 63.58,R$ 63.58,R$ 63.58,-
2022160101NE02745,1/1/22,Usuário de Integração do Sistema,160101,461509/2022,"R$ 26,827.50","R$ 26,827.50","R$ 26,827.50",-
2022160101NE03399,1/1/22,Usuário de Integração do Sistema,160101,192423/2022,R$ 650.80,R$ 650.80,R$ 650.80,-
2022160101NE04486,1/1/22,Usuário de Integração do Sistema,160101,2013/390681,R$ 688.50,R$ 688.50,R$ 688.50,-
2022160101NE04778,1/1/22,Usuário de Integração do Sistema,160101,1360961/2019,R$ 595.68,R$ 595.68,R$ 595.68,-
2022160101NE05357,1/1/22,Usuário de Integração do Sistema,160101,805931/2022,"R$ 27,098.85","R$ 27,098.85","R$ 27,098.85",-
2022160101NE05377,1/1/22,Usuário de Integração do Sistema,160101,805068/2022,"R$ 47,844.83","R$ 47,844.83","R$ 47,844.83",-
2022160101NE06451,1/1/22,Usuário de Integração do Sistema,160101,897738/2022,"R$ 33,534.09","R$ 33,534.09","R$ 33,534.09",-
2022160101NE06454,1/1/22,Usuário de Integração do Sistema,160101,897769/2022,"R$ 31,251.54","R$ 31,251.54","R$ 31,251.54",-
2022160101NE06644,1/1/22,Usuário de Integração do Sistema,160101,981101/2022,"R$ 623,257.65","R$ 623,257.65","R$ 623,257.65",-
2022160101NE06645,1/1/22,Usuário de Integração do Sistema,160101,981609/2022,"R$ 109,981.25","R$ 109,981.25","R$ 109,981.25",-
2022160101NE07618,1/1/22,Usuário de Integração do Sistema,160101,2020/877725,R$ 694.74,R$ 694.74,R$ 694.74,-
2022160101NE08265,1/1/22,Usuário de Integração do Sistema,160101,68107/2022,R$ 945.13,R$ 945.13,R$ 945.13,-
2022160101NE08266,1/1/22,Usuário de Integração do Sistema,160101,68107/2022,R$ 945.13,R$ 945.13,R$ 945.13,-
2022160101NE08267,1/1/22,Usuário de Integração do Sistema,160101,68107/2022,R$ 945.13,R$ 945.13,R$ 945.13,-
2022160101NE08530,1/1/22,Usuário de Integração do Sistema,160101,1201381/2022,"R$ 11,890.95","R$ 11,890.95","R$ 11,890.95",-
2022160101NE08531,1/1/22,Usuário de Integração do Sistema,160101,1201381/2022,"R$ 139,513.64","R$ 139,513.64","R$ 139,513.64",-
2022160101NE08533,1/1/22,Usuário de Integração do Sistema,160101,1201381/2022,"R$ 95,818.82","R$ 95,818.82","R$ 95,818.82",-
2022160101NE08534,1/1/22,Usuário de Integração do Sistema,160101,1201381/2022,"R$ 40,920.67","R$ 40,920.67","R$ 40,920.67",-
2022160101NE08535,1/1/22,Usuário de Integração do Sistema,160101,1201381/2022,"R$ 36,142.35","R$ 36,142.35","R$ 36,142.35",-
2022160101NE08546,1/1/22,Usuário de Integração do Sistema,160101,1214807/2022,"R$ 9,550.77","R$ 9,550.77","R$ 9,550.77",-
2022160101NE08547,1/1/22,Usuário de Integração do Sistema,160101,1214807/2022,"R$ 82,182.20","R$ 82,182.20","R$ 82,182.20",-
2022160101NE08548,1/1/22,Usuário de Integração do Sistema,160101,1214807/2022,"R$ 63,271.30","R$ 63,271.30","R$ 63,271.30",-
2022160101NE08549,1/1/22,Usuário de Integração do Sistema,160101,1214807/2022,"R$ 17,976.98","R$ 17,976.98","R$ 17,976.98",-
2022160101NE08550,1/1/22,Usuário de Integração do Sistema,160101,1214807/2022,"R$ 27,808.06","R$ 27,808.06","R$ 27,808.06",-
2022160101NE08551,1/1/22,Usuário de Integração do Sistema,160101,1208114/2022,"R$ 9,079.79","R$ 9,079.79","R$ 9,079.79",-
2022160101NE08552,1/1/22,Usuário de Integração do Sistema,160101,1208114/2022,"R$ 71,267.84","R$ 71,267.84","R$ 71,267.84",-
2022160101NE08553,1/1/22,Usuário de Integração do Sistema,160101,1208114/2022,"R$ 45,395.07","R$ 45,395.07","R$ 45,395.07",-
2022160101NE08554,1/1/22,Usuário de Integração do Sistema,160101,1208114/2022,"R$ 9,978.99","R$ 9,978.99","R$ 9,978.99",-
2022160101NE08555,1/1/22,Usuário de Integração do Sistema,160101,1208114/2022,"R$ 14,199.44","R$ 14,199.44","R$ 14,199.44",-
2022160101NE08706,1/1/22,Usuário de Integração do Sistema,160101,2022/1230131,"R$ 1,196,336.71","R$ 1,196,336.71","R$ 1,196,336.71",-
2022160101NE09047,1/1/22,Usuário de Integração do Sistema,160101,1227166/2022,"R$ 138,188.58","R$ 138,188.58","R$ 138,188.58",-
2022160101NE09050,1/1/22,Usuário de Integração do Sistema,160101,1227166/2022,"R$ 124,740.68","R$ 124,740.68","R$ 124,740.68",-
2022160101NE09053,1/1/22,Usuário de Integração do Sistema,160101,1224363/2022,"R$ 24,786.99","R$ 24,786.99","R$ 24,786.99",-
2022160101NE09054,1/1/22,Usuário de Integração do Sistema,160101,1224363/2022,"R$ 403,311.72","R$ 403,311.72","R$ 403,311.72",-
