OrdemBancaria,DatadoPagamento,DocumentodeLiquidacao,CodigoUnidadeGestora,NomeUsuarioQueCriou,Finalidade,Valor
2025160101OB00002,15/01/2025,2025160101DL000001,160101,LUIZ GERALDO FERREIRA CARDOSO,PAGAMENTO DO MÊS DE DEZEMBRO/24 RESTO A PAGAR.,R$ 798.23
2025160101OB00003,15/01/2025,2025160101DL000003,160101,PAULO JORGE BRITO BORGES,PGT. REF.CONT.062/21;NF. 13291;ENS.FUNDAM/OUTUBRO/24; RESTOS A PG NÃO PROC. PREST.SERV.VIGILANCIA ARMADA NA SEDE/SEDUC,"R$ 260,323.70"
2025160101OB00004,15/01/2025,2025160101DL000002,160101,LUIZ GERALDO FERREIRA CARDOSO,PAGAMENTO DO MÊS DE DEZEMBRO/24 RESTO A PAGAR.,"R$ 13,303.18"
2025160101OB00005,15/01/2025,2025160101DL000004,160101,LUIZ GERALDO FERREIRA CARDOSO,PAGAMENTO DO MÊS DE DEZEMBRO/24 RESTO A PAGAR.,"R$ 10,664.16"
2025160101OB00006,15/01/2025,2025160101DL000006,160101,PAULO JORGE BRITO BORGES,PGT. REF.CONT.062/21;NF. 13290; ADMINISTRATIVO/OUTUBRO/24; RESTOS A PG NÃO PROC. PREST.SERV.VIGILANCIA ARMADA NA SEDE/SEDUC,"R$ 213,869.26"
2025160101OB00007,15/01/2025,2024160101DL019214,160101,Marcos Roberto Nascimento da Silva,"PGTO. NF: 387/2024 REF. AQUISIÇÃO DE MERENDA ESCOLAR, PLANO INTERNO 1010008477C, ACAO 282.882, FUNCIONAL PROGRAMA 16101.12.306.1511, REGIÃO DE INTEGRAÇÃO GUAJARÁ, ATENDENDO PNAE- AEE, FUND., EJA, MÉDIO E T.I.. CONTRATO 021/2023. CONSIDERANDO O ATESTO DO FISCAL NA ENTREGA DO PRODUTO, CONFORMIDADE DO NCI E AUTORIZO SUPERIOR.","R$ 63,402.69"
2025160101OB00008,15/01/2025,2024160101DL019215,160101,Marcos Roberto Nascimento da Silva,"PGTO. NF: 389/2024 REF. AQUISIÇÃO DE MERENDA ESCOLAR, PLANO INTERNO 1010008477C, ACAO 282.882, FUNCIONAL PROGRAMA 16101.12.306.1511, REGIÃO DE INTEGRAÇÃO GUAJARÁ, ATENDENDO PNAE- AEE, FUND., EJA, MÉDIO E T.I.. CONTRATO 021/2023. CONSIDERANDO O ATESTO DO FISCAL NA ENTREGA DO PRODUTO, CONFORMIDADE DO NCI E AUTORIZO SUPERIOR.","R$ 78,629.76"
2025160101OB00009,15/01/2025,2024160101DL019216,160101,Marcos Roberto Nascimento da Silva,"PGTO. NF: 390/2024 REF. AQUISIÇÃO DE MERENDA ESCOLAR, PLANO INTERNO 1010008477C, ACAO 282.882, FUNCIONAL PROGRAMA 16101.12.306.1511, REGIÃO DE INTEGRAÇÃO GUAJARÁ, ATENDENDO PNAE- AEE, FUND., EJA, MÉDIO E T.I.. CONTRATO 021/2023. CONSIDERANDO O ATESTO DO FISCAL NA ENTREGA DO PRODUTO, CONFORMIDADE DO NCI E AUTORIZO SUPERIOR.","R$ 23,951.30"
2025160101OB00010,15/01/2025,2025160101DL000008,160101,LUIZ GERALDO FERREIRA CARDOSO,PAGAMENTO DO MÊS DE DEZEMBRO/24 RESTO A PAGAR.,R$ 657.72
2025160101OB00011,15/01/2025,2025160101DL000010,160101,PAULO JORGE BRITO BORGES,PGT. REF.CONT.062/21;NF. 13292; ENS.MÉDIO/OUTUBRO/24; RESTOS A PG NÃO PROC. PREST.SERV.VIGILANCIA ARMADA NA SEDE/SEDUC,"R$ 144,805.90"
2025160101OB00012,15/01/2025,2025160101DL000009,160101,EULLER ADRIANO QUEIROZ LIMA,"PGT LG, OUTUBRO DE 2024, NF 13607/24, SEM CONTRATO. PROCESSO: 1242584/24.","R$ 529,437.86"
2025160101OB00013,15/01/2025,2025160101DL000009,160101,EULLER ADRIANO QUEIROZ LIMA,"PGT INSS, LG, OUTUBRO, NF 13607/24, SEM CONTRATO PROCESSO: 1242584/24.","R$ 97,796.78"
2025160101OB00014,15/01/2025,2025160101DL000013,160101,FABIANO MOURA DE VASCONCELOS,PGTO FATURA 172 REF SET/24 CF CTO 073/2023,"R$ 1,340,733.30"
2025160101OB00015,15/01/2025,2025160101DL000011,160101,GENNYSON CLAUDIO PINTO BARBOSA,PAG.REF.NF.4031.CTO.001/24.PERIODO;16/09 A 30/09/24.,"R$ 181,747.48"
2025160101OB00016,15/01/2025,2025160101DL000012,160101,LUIZ GERALDO FERREIRA CARDOSO,PAGAMENTO DO MÊS DE DEZEMBRO/24 RESTO A PAGAR.,"R$ 15,240.88"
2025160101OB00017,15/01/2025,2025160101DL000013,160101,FABIANO MOURA DE VASCONCELOS,IRRF,"R$ 67,600.00"
2025160101OB00018,15/01/2025,2025160101DL000012,160101,LUIZ GERALDO FERREIRA CARDOSO,IR.,"R$ 4,330.92"
2025160101OB00019,15/01/2025,2025160101DL000005,160101,LUIZ GERALDO FERREIRA CARDOSO,PAGAMENTO DE 29 E 30/12/24 RESTO A PAGAR,"R$ 3,256.68"
2025160101OB00020,15/01/2025,2025160101DL000014,160101,LUIZ GERALDO FERREIRA CARDOSO,PAGAMENTO DO PERÍODO DE 01 A 28/12/2024 RESTO A PAGAR,"R$ 33,211.04"
