CodigoNotadeEmpenho,DatadoEmpenho,NomeUsuarioQueCriou,InstituicaoCodigoUnidadeGestora,NUMERO_PROCESSO,Valor Original,Valor Corrente,Saldo a Liquidar,Quantidade
2026160101NE000001,21/01/2026,ELISANDRA CRISTINA COSTA RODRIGUES,160101,1538423/2026,R$ 790.65,R$ 790.65,R$ 0.00,1.5
2026160101NE000002,21/01/2026,ANTONIO PAULO SOUZA,160101,2026/2062220,"R$ 1,000,000.00","R$ 2,500,000.00","R$ 1,288,264.56",2
2026160101NE000003,21/01/2026,ANTONIO PAULO SOUZA,160101,2026/2062220,"R$ 7,000.00","R$ 15,000.00","R$ 6,988.95",2
2026160101NE000004,21/01/2026,ANTONIO PAULO SOUZA,160101,20262062220,"R$ 7,000,000.00","R$ 12,500,000.00","R$ 4,739,962.75",3
2026160101NE000005,21/01/2026,HELDER LUIS DE OLIVEIRA BRITO,160101,2026/2088894,"R$ 250,000.00","R$ 250,000.00","R$ 226,516.75",1
2026160101NE000006,21/01/2026,HELDER LUIS DE OLIVEIRA BRITO,160101,2026/2088894,"R$ 2,000,000.00","R$ 3,500,000.00","R$ 1,265,308.97",1500001
2026160101NE000007,21/01/2026,HELDER LUIS DE OLIVEIRA BRITO,160101,20262088894,"R$ 700,000.00","R$ 700,000.00","R$ 501,508.08",1
2026160101NE000008,21/01/2026,HELDER LUIS DE OLIVEIRA BRITO,160101,2026/2088894,"R$ 30,000.00","R$ 30,000.00","R$ 22,533.47",1
2026160101NE000009,22/01/2026,CARLOS EDUARDO MENDONÇA DA ROCHA,160101,2026/2061023,"R$ 1,000,000.00",R$ 0.00,R$ 0.00,0
2026160101NE000010,22/01/2026,ELISANDRA CRISTINA COSTA RODRIGUES,160101,1538455/2025,R$ 864.75,R$ 0.00,R$ 0.00,0
2026160101NE000011,22/01/2026,CARLOS EDUARDO MENDONÇA DA ROCHA,160101,2026/2061023,"-R$ 1,000,000.00",R$ 0.00,R$ 0.00,-1
2026160101NE000012,22/01/2026,ELISANDRA CRISTINA COSTA RODRIGUES,160101,1538452/2026,R$ 864.75,R$ 864.75,R$ 0.00,3.5
2026160101NE000013,22/01/2026,ELISANDRA CRISTINA COSTA RODRIGUES,160101,1538451/2026,R$ 864.75,R$ 864.75,R$ 0.00,3.5
2026160101NE000014,22/01/2026,ELISANDRA CRISTINA COSTA RODRIGUES,160101,1538460/2026,R$ 864.75,R$ 864.75,R$ 0.00,3.5
2026160101NE000015,22/01/2026,ANTONIO PAULO SOUZA,160101,2026/2062220,"R$ 4,000,000.00","R$ 7,300,000.00","R$ 3,055,166.86",3
2026160101NE000016,22/01/2026,AUGUSTO CESAR BORGES DE OLIVEIRA,160101,2025/3016292,"R$ 2,120,180.99","R$ 2,120,180.99",R$ 0.00,1
2026160101NE000017,22/01/2026,ELISANDRA CRISTINA COSTA RODRIGUES,160101,1538455/2025,-R$ 864.75,R$ 0.00,R$ 0.00,-3.5
2026160101NE000018,22/01/2026,ELISANDRA CRISTINA COSTA RODRIGUES,160101,1538455/2026,R$ 864.75,R$ 0.00,R$ 0.00,0
2026160101NE000019,22/01/2026,ELISANDRA CRISTINA COSTA RODRIGUES,160101,1538455/2026,-R$ 864.75,R$ 0.00,R$ 0.00,-3.5
2026160101NE000020,22/01/2026,ELISANDRA CRISTINA COSTA RODRIGUES,160101,1538455/2026,R$ 864.75,R$ 864.75,R$ 0.00,3.5
2026160101NE000021,22/01/2026,ALINNE MARIA TORRES DA ROCHA,160101,2026/2059373,"R$ 46,288.20","R$ 46,288.20","R$ 34,716.15",12
2026160101NE000022,22/01/2026,ALINNE MARIA TORRES DA ROCHA,160101,2026/2060067,"R$ 48,000.00","R$ 48,000.00","R$ 12,000.00",4
2026160101NE000023,22/01/2026,ALINNE MARIA TORRES DA ROCHA,160101,2026/2057404,"R$ 37,567.28","R$ 37,567.28","R$ 9,391.82",4
2026160101NE000024,22/01/2026,ELISANDRA CRISTINA COSTA RODRIGUES,160101,1538466/2026,R$ 617.68,R$ 617.68,R$ 0.00,2.5
2026160101NE000025,22/01/2026,ELISANDRA CRISTINA COSTA RODRIGUES,160101,1538467/2026,R$ 617.68,R$ 617.68,R$ 0.00,2.5
2026160101NE000026,22/01/2026,HELDER LUIS DE OLIVEIRA BRITO,160101,2026/2052470,"R$ 1,000.00","R$ 1,000.00","R$ 1,000.00",1
2026160101NE000027,22/01/2026,AUGUSTO CESAR BORGES DE OLIVEIRA,160101,2026/2061023,"R$ 100,000.00","R$ 100,000.00","R$ 68,101.06",1
2026160101NE000028,22/01/2026,ELISANDRA CRISTINA COSTA RODRIGUES,160101,1538468/2026,R$ 617.68,R$ 617.68,R$ 0.00,2.25
2026160101NE000029,22/01/2026,HELDER LUIS DE OLIVEIRA BRITO,160101,2026/2060808,"R$ 12,000.00","R$ 12,000.00","R$ 7,613.19",1
2026160101NE000030,22/01/2026,ANTONIO PAULO SOUZA,160101,2026/2050244,"R$ 6,000.00","R$ 6,000.00","R$ 4,281.00",1
2026160101NE000031,22/01/2026,ELISANDRA CRISTINA COSTA RODRIGUES,160101,1538469/2026,R$ 617.68,R$ 617.68,R$ 0.00,2.5
2026160101NE000032,22/01/2026,HELDER LUIS DE OLIVEIRA BRITO,160101,2026/2052502,"R$ 9,000.00","R$ 9,000.00","R$ 7,244.40",1
2026160101NE000033,22/01/2026,CARLOS EDUARDO MENDONÇA DA ROCHA,160101,20262060789,"R$ 50,000.00","R$ 50,000.00","R$ 32,018.40",1
2026160101NE000034,22/01/2026,ANTONIO PAULO SOUZA,160101,2026/2049692,"R$ 70,000.00","R$ 70,000.00","R$ 70,000.00",1
2026160101NE000035,22/01/2026,HELDER LUIS DE OLIVEIRA BRITO,160101,2026/2060884,"R$ 1,200.00","R$ 1,200.00",R$ 915.54,1
2026160101NE000036,22/01/2026,CARLOS EDUARDO MENDONÇA DA ROCHA,160101,2026/2060959,"R$ 1,500.00","R$ 1,500.00","R$ 1,059.23",1
2026160101NE000037,22/01/2026,HELDER LUIS DE OLIVEIRA BRITO,160101,2026/2060855,"R$ 35,000.00","R$ 35,000.00","R$ 22,926.98",1
2026160101NE000038,22/01/2026,HELDER LUIS DE OLIVEIRA BRITO,160101,2026/2060977,"R$ 100,000.00",R$ 0.00,R$ 0.00,-99999
2026160101NE000039,22/01/2026,ANTONIO PAULO SOUZA,160101,2026/2051502,"R$ 15,000.00","R$ 15,000.00","R$ 14,249.76",1
2026160101NE000040,22/01/2026,HELDER LUIS DE OLIVEIRA BRITO,160101,2026/2050976,"R$ 14,000.00","R$ 14,000.00","R$ 12,178.40",1
2026160101NE000041,22/01/2026,HELDER LUIS DE OLIVEIRA BRITO,160101,2026/2061045,"R$ 15,000.00","R$ 15,000.00","R$ 14,269.51",1
2026160101NE000042,22/01/2026,HELDER LUIS DE OLIVEIRA BRITO,160101,2026/2052442,"R$ 4,000.00","R$ 4,000.00","R$ 3,358.84",1
2026160101NE000043,22/01/2026,HELDER LUIS DE OLIVEIRA BRITO,160101,2026/2051197,"R$ 2,000.00","R$ 2,000.00","R$ 1,871.00",1
2026160101NE000044,22/01/2026,ANTONIO PAULO SOUZA,160101,2026/2061001,"R$ 5,000.00","R$ 5,000.00","R$ 4,196.74",1
2026160101NE000045,22/01/2026,HELDER LUIS DE OLIVEIRA BRITO,160101,2025/2391658,"R$ 2,109,735.93","R$ 2,109,735.93",R$ 0.00,1
2026160101NE000046,22/01/2026,ANTONIO PAULO SOUZA,160101,2026/2052796,"R$ 127,346.76","R$ 127,346.76","R$ 31,836.69",4
2026160101NE000047,22/01/2026,ELISANDRA CRISTINA COSTA RODRIGUES,160101,2026/2052294,"R$ 1,000.00","R$ 1,000.00",R$ 904.16,1
2026160101NE000048,23/01/2026,ELISANDRA CRISTINA COSTA RODRIGUES,160101,1538465/2026,R$ 864.75,R$ 864.75,R$ 0.00,3.5
2026160101NE000049,23/01/2026,ALINNE MARIA TORRES DA ROCHA,160101,2026/2005944,"R$ 78,840.00","R$ 78,840.00","R$ 59,130.00",12
2026160101NE000050,23/01/2026,AUGUSTO CESAR BORGES DE OLIVEIRA,160101,2025/3045462,"R$ 1,461,007.40","R$ 1,461,007.40",R$ 0.00,1
2026160101NE000051,23/01/2026,ALINNE MARIA TORRES DA ROCHA,160101,2026/2064697,"R$ 47,738.40","R$ 47,738.40","R$ 35,803.80",12
2026160101NE000052,23/01/2026,ELISANDRA CRISTINA COSTA RODRIGUES,160101,2026/2074727,R$ 370.61,R$ 370.61,R$ 0.00,1.5
2026160101NE000053,23/01/2026,ALINNE MARIA TORRES DA ROCHA,160101,2026/2069244,"R$ 177,381.84","R$ 177,381.84","R$ 44,345.36",4
2026160101NE000054,23/01/2026,ALINNE MARIA TORRES DA ROCHA,160101,2026/2072862,"R$ 240,000.00","R$ 240,000.00","R$ 60,000.00",4
2026160101NE000055,23/01/2026,ALINNE MARIA TORRES DA ROCHA,160101,2026/2065214,"R$ 78,287.20","R$ 78,287.20","R$ 19,571.80",4
2026160101NE000056,23/01/2026,ELISANDRA CRISTINA COSTA RODRIGUES,160101,2026/2074689,R$ 123.54,R$ 0.00,R$ 0.00,0
2026160101NE000057,23/01/2026,ALINNE MARIA TORRES DA ROCHA,160101,2026/2073120,"R$ 90,210.52","R$ 90,210.52","R$ 22,552.63",4
2026160101NE000058,23/01/2026,ALINNE MARIA TORRES DA ROCHA,160101,20262065533,"R$ 39,600.00","R$ 39,600.00","R$ 29,700.00",12
2026160101NE000059,23/01/2026,ELISANDRA CRISTINA COSTA RODRIGUES,160101,2026/2074689,-R$ 123.54,R$ 0.00,R$ 0.00,-0.5
2026160101NE000060,23/01/2026,AUGUSTO CESAR BORGES DE OLIVEIRA,160101,2026/2084600,"R$ 98,880.00","R$ 98,880.00","R$ 24,720.00",4
2026160101NE000061,23/01/2026,ELISANDRA CRISTINA COSTA RODRIGUES,160101,2026/2074689,R$ 123.54,R$ 0.00,R$ 0.00,0
