DocumentodeLiquidacao,DatadaLiquidacao,CodigoNotadeEmpenho,CodigoNaturezaDaDespesa,NomeFonteDeRecurso,CodigoFonteDeRecurso,NomeDetalhamentoFr,CodigoDetalhamentoFr,NUMERO_PROCESSO,CodigoProjetoAtividade,NomeCredor,CONTRATO,CONVENIO,InstituicaoCodigoUnidadeGestora,NomeUsuarioQueCriou,Valor Original,Valor Liquido,Valor Bruto,Valor Retido,Valor Pago,Valor Liquidado a Pagar,Valor Liquido2
2021160101DL000001,1/1/21,2021160101NE02422,33903999,Transferência do Salário-Educação,1550000004,SEM DETALHAMENTO,0,562911/2021,XXXX,#null,#null,#null,160101,Usuário de Integração do Sistema,R$ 200.00,R$ 200.00,R$ 200.00,R$ 0.00,R$ 0.00,R$ 200.00,200
2021160101DL000002,1/1/21,2021160101NE03501,33909299,REC.PROV.DE TRANSFERENCIAS-CONVENIOS E OUTROS,2999000006,DETALHAMENTO PNAE /EJA,2326,1423182/2019,XXXX,#null,#null,#null,160101,Usuário de Integração do Sistema,"R$ 27,955.00","R$ 27,955.00","R$ 27,955.00",R$ 0.00,"R$ 27,954.00",R$ 1.00,27955
2021160101DL000003,1/1/21,2021160101NE03503,33909299,REC.PROV.DE TRANSFERENCIAS-CONVENIOS E OUTROS,2999000006,DETALHAMENTO PNAE - AQUIS.MERENDA ESCOLAR/ENS.FUNDAMENTAL,1671,1423182/2019,XXXX,#null,#null,#null,160101,Usuário de Integração do Sistema,"R$ 10,768.50","R$ 10,768.50","R$ 10,768.50",R$ 0.00,"R$ 10,768.50",R$ 0.00,10768.5
2021160101DL000004,1/1/21,2021160101NE03507,33909299,REC.PROV.DE TRANSFERENCIAS-CONVENIOS E OUTROS,2999000006,DETALHAMENTO OBJ.RESUMIDO PNAE - FUNDAMENTAL MAIS EDUCACAO,2613,1423182/2021,XXXX,#null,#null,#null,160101,Usuário de Integração do Sistema,"R$ 1,372.50","R$ 1,372.50","R$ 1,372.50",R$ 0.00,"R$ 1,372.50",R$ 0.00,1372.5
2021160101DL000005,1/1/21,2021160101NE03511,33909299,Transf Rec do FNDE ref Prog Nac Alimentação Escolar (PNAE),2552000006,DETALHAMENTO PNAEM/MEDIO,2324,1423182/2019,XXXX,#null,#null,#null,160101,Usuário de Integração do Sistema,"R$ 24,394.50","R$ 24,394.50","R$ 24,394.50",R$ 0.00,R$ 0.00,"R$ 24,394.50",24394.5
2021160101DL000006,1/1/21,2021160101NE08106,33903799,Recursos não Vinculados de Impostos,1500100102,DETALHAMENTO CONTRATO DE LIMPEZA E CONSERVACAO,6360,1254095/2021,XXXX,#null,#null,#null,160101,Usuário de Integração do Sistema,R$ 0.33,R$ 0.33,R$ 0.33,R$ 0.00,R$ 0.00,R$ 0.33,0.33
2021160101DL000007,1/1/21,2021160101NE09195,44909299,Transf do Gov Fed ref a Conv e Instr Congêneres vinc à Educ,2570000006,DETALHAMENTO PAC 2-CONST DE 100 COBERT DE QUADRAS ESPORT.,3096,2021/1431591,XXXX,#null,#null,#null,160101,Usuário de Integração do Sistema,"R$ 67,777.79","R$ 67,777.79","R$ 67,777.79",R$ 0.00,R$ 0.00,"R$ 67,777.79",67777.79
2022160101DL000001,1/1/22,2022160101NE00062,33903944,Transferência do Salário-Educação,1550000004,DETALHAMENTO UTILIDADE PUBLICA,2156,34958/2022,XXXX,#null,0,0,160101,Usuário de Integração do Sistema,"R$ 3,427.25","R$ 3,427.25","R$ 3,427.25",R$ 0.00,"R$ 3,427.25",R$ 0.00,3427.25
2022160101DL000002,1/1/22,2022160101NE00071,33903944,Transferência do Salário-Educação,1550000004,DETALHAMENTO UTILIDADE PUBLICA,2156,34984/2022,XXXX,#null,0,0,160101,Usuário de Integração do Sistema,R$ 139.65,R$ 139.65,R$ 139.65,R$ 0.00,R$ 139.65,R$ 0.00,139.65
2022160101DL000003,1/1/22,2022160101NE00274,33903958,Recursos não Vinculados de Impostos,1500100102,DETALHAMENTO UTILIDADE PUBLICA,2156,37706/2022,XXXX,#null,2002020,0,160101,Usuário de Integração do Sistema,"R$ 9,348.17","R$ 9,348.17","R$ 9,348.17",R$ 0.00,"R$ 9,348.17",R$ 0.00,9348.17
